Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#144 Meyer, Andre
Division Production Optics Class U Category S. Senior Factor Minor Squad 36
Stage Factor PTS A C D Ded. MI NS PE Time
15 2.7375 95 14 8 1 0 1 0 0 31.05
16 4.5283 48 7 4 1 0 0 0 0 10.60
17 5.4711 54 9 3 0 0 0 0 0 9.87
18 3.1200 39 4 6 1 0 0 0 0 12.50
19 4.3979 42 6 4 0 0 0 0 0 9.55
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 11 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#355 Stejcon, Hans
Division Classic Class U Category Factor Minor Squad 38
Stage Factor PTS A C D Ded. MI NS PE Time
1 2.0746 104 17 6 1 0 0 0 0 50.13
2 4.8758 53 10 1 0 0 0 0 0 10.87
3 2.5978 105 18 5 0 0 1 0 0 36.57
4 2.6399 123 19 9 1 0 3 0 1 31.44
5 3.0744 105 18 5 0 0 1 0 0 30.90
6 2.7673 44 6 4 2 0 0 0 0 15.90
7 3.3378 124 16 14 2 0 0 0 0 37.15
8 1.9943 49 8 3 0 0 0 0 0 24.57
9 0.9434 85 15 3 1 0 5 0 0 37.10
10 2.9790 109 20 3 0 0 0 0 0 36.59
11 5.2209 39 6 3 0 0 0 0 0 7.47
12 1.3495 48 7 4 1 0 0 0 0 35.57
13 2.5656 119 19 7 3 0 3 0 0 34.69
14 2.6876 87 14 4 5 0 1 0 0 28.65
15 1.6662 86 12 8 2 0 2 0 0 39.61
16 3.3856 54 9 3 0 0 0 0 0 15.95
17 3.3016 52 8 4 0 0 0 0 0 15.75
18 2.7060 45 6 5 0 0 0 0 0 16.63
19 3.5581 38 5 4 1 0 0 0 0 10.68
#362 Schnoor, Oliver
Division Standard Class U Category Senior Factor Minor Squad 28
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.3849 94 13 9 2 0 0 0 0 27.77
2 5.9955 53 10 1 0 0 0 0 0 8.84
3 3.3365 104 17 6 1 0 0 0 0 31.17
4 5.5152 152 28 4 0 0 0 0 0 27.56
5 3.8839 97 17 3 3 0 1 0 0 22.40
6 5.8333 56 10 2 0 0 0 0 0 9.60
7 4.6892 132 20 10 2 0 0 0 0 28.15
8 2.6573 48 9 1 0 0 1 0 0 14.30
9 3.8477 96 14 8 2 0 0 0 0 24.95
10 4.0017 95 16 4 3 0 0 0 0 23.74
11 4.8409 35 5 3 1 0 0 0 0 7.23
12 4.1475 54 10 1 1 0 0 0 0 13.02
13 5.2383 144 25 6 1 0 0 0 0 27.49
14 4.9242 114 21 3 0 0 0 1 0 21.12
15 2.5982 90 11 11 2 0 0 1 0 30.79
16 4.5407 53 10 1 0 0 1 0 0 9.47
17 5.8947 56 10 2 0 0 0 0 0 9.50
18 4.4932 43 5 6 0 0 0 0 0 9.57
19 3.8532 42 6 4 0 0 0 0 0 10.90
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 12 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#363 Arnold, Alain
Division Production Class U Category Factor Minor Squad 27
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.1509 114 21 3 0 0 0 0 0 36.18
2 4.3584 46 8 2 0 0 1 0 0 8.26
3 3.4249 116 22 2 0 0 0 0 0 33.87
4 4.7263 149 28 3 0 0 1 0 0 29.41
5 3.6338 104 17 6 1 0 0 0 0 28.62
6 4.9477 52 8 4 0 0 0 0 0 10.51
7 4.3732 150 27 5 0 0 0 0 0 34.30
8 3.7775 55 11 0 0 0 0 0 0 14.56
9 3.2690 100 15 8 1 0 0 0 0 30.59
10 4.4158 113 22 1 0 0 0 0 0 25.59
11 3.5388 41 7 2 0 0 0 1 0 8.76
12 2.0265 46 9 0 1 0 2 0 0 12.83
13 3.0049 126 22 5 1 0 4 0 0 28.62
14 4.6296 110 19 5 0 0 0 0 0 23.76
15 2.2677 102 19 2 1 0 2 0 0 36.16
16 5.5814 48 6 6 0 0 0 0 0 8.60
17 3.2445 56 10 2 0 0 0 0 0 17.26
18 3.9080 51 9 2 0 0 0 0 0 13.05
19 4.8988 46 8 2 0 0 0 0 0 9.39
#364 Sand, Lars B
Division Production Optics Class U Category Senior Factor Minor Squad 26
Stage Factor PTS A C D Ded. MI NS PE Time
1 1.7593 83 11 8 4 0 1 1 0 35.81
2 4.0833 49 8 3 0 0 0 0 0 12.00
3 2.6281 99 16 6 1 0 1 1 0 30.06
4 3.0189 144 27 3 0 0 2 2 0 34.45
5 1.7660 86 11 10 1 0 2 1 0 31.71
6 3.4783 52 8 4 0 0 0 0 0 14.95
7 2.8327 129 19 11 1 0 1 0 0 42.01
8 2.6786 51 9 2 0 0 0 0 0 19.04
9 1.9580 90 12 10 0 0 2 0 0 35.75
10 3.4622 103 18 4 1 0 0 0 0 29.75
11 2.3454 32 5 2 1 0 1 0 0 9.38
12 2.7027 50 7 5 0 0 0 1 0 14.80
13 3.4107 144 24 8 0 0 0 0 0 42.22
14 3.2177 90 10 13 1 0 0 0 0 27.97
15 2.2588 91 12 10 1 0 1 0 0 35.86
16 2.0202 48 6 6 0 0 0 2 0 13.86
17 3.9409 56 10 2 0 0 0 0 0 14.21
18 0.3621 37 5 4 0 0 2 1 0 19.33
19 3.1690 36 3 7 0 0 0 0 0 11.36
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 13 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#365 Arnold, Tanja
Division Production Class U Category Lady Factor Minor Squad 33
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.0096 110 19 5 0 0 0 0 0 36.55
2 4.0323 45 8 1 2 0 0 0 0 11.16
3 2.0771 107 19 4 0 0 1 0 0 46.70
4 3.1865 154 29 3 0 0 0 1 0 45.19
5 3.6613 112 20 4 0 0 0 0 0 30.59
6 3.8564 58 11 1 0 0 0 0 0 15.04
7 3.5503 150 27 5 0 0 0 0 0 42.25
8 3.3934 49 8 3 0 0 0 0 0 14.44
9 2.4384 100 15 8 1 0 0 0 0 41.01
10 4.1713 113 22 1 0 0 0 0 0 27.09
11 3.1125 39 7 1 1 0 0 0 0 12.53
12 2.9728 58 11 1 0 0 0 0 0 19.51
13 2.7751 134 23 6 1 0 2 0 0 41.08
14 3.2526 94 14 7 3 0 0 0 0 28.90
15 1.7743 106 20 2 0 0 2 0 0 48.47
16 5.2679 58 11 1 0 0 0 0 0 11.01
17 3.9344 60 12 0 0 0 0 0 0 15.25
18 2.9105 53 10 1 0 0 0 0 0 18.21
19 3.7674 46 8 2 0 0 0 0 0 12.21
#366 Hehn, Ralf
Division Standard Class U Category Factor Minor Squad 26
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.7458 112 20 4 0 0 0 0 0 29.90
2 6.4557 51 9 2 0 0 0 0 0 7.90
3 4.0531 110 19 5 0 0 0 0 0 27.14
4 3.2036 127 19 10 2 0 1 1 0 33.40
5 3.9435 106 17 7 0 0 0 0 0 26.88
6 4.8945 58 11 1 0 0 0 0 0 11.85
7 4.2831 138 23 7 2 0 0 0 0 32.22
8 3.6740 55 11 0 0 0 0 0 0 14.97
9 3.3149 102 16 7 1 0 0 0 0 30.77
10 3.4112 111 21 2 0 0 0 0 0 32.54
11 0.9845 27 4 2 1 0 2 0 0 7.11
12 4.6326 58 11 1 0 0 0 0 0 12.52
13 4.5654 156 30 2 0 0 0 0 0 34.17
14 4.6470 104 16 8 0 0 0 0 0 22.38
15 3.0331 98 15 7 2 0 0 0 0 32.31
16 5.2205 58 11 1 0 0 0 0 0 11.11
17 4.3097 54 9 3 0 0 0 0 0 12.53
18 3.3607 45 6 5 0 0 0 0 0 13.39
19 4.8565 44 7 3 0 0 0 0 0 9.06
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 14 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#374 Oelte, Reimar
Division Open Class U Category Senior Factor Major Squad 32
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.8105 111 17 6 1 0 0 0 0 29.13
2 3.6176 52 8 3 0 0 0 1 0 11.61
3 2.6725 111 17 6 1 0 0 2 0 34.05
4 5.2758 154 26 6 0 0 0 0 0 29.19
5 3.6721 112 18 5 1 0 0 0 0 30.50
6 4.7310 51 7 3 2 0 0 0 0 10.78
7 4.9228 153 27 4 1 0 0 0 0 31.08
8 2.9589 49 7 3 1 0 0 0 0 16.56
9 3.6585 111 19 3 2 0 0 0 0 30.34
10 4.0242 113 21 2 0 0 0 0 0 28.08
11 6.6007 40 6 2 1 0 0 0 0 6.06
12 3.5714 52 8 3 0 0 1 0 0 11.76
13 5.4137 159 31 1 0 0 0 0 0 29.37
14 5.6012 109 13 11 0 0 0 0 0 19.46
15 1.6326 101 17 4 0 0 3 0 0 43.49
16 4.9873 59 11 1 0 0 0 0 0 11.83
17 5.1282 56 8 4 0 0 0 0 0 10.92
18 2.6504 47 7 3 0 0 1 0 0 13.96
19 4.6720 47 7 3 0 0 0 0 0 10.06
#375 Johnsen, Øivind
Division Open Class U Category S. Senior Factor Major Squad 37
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.2172 106 14 9 0 0 1 0 0 29.84
2 5.0562 54 10 1 0 0 0 0 0 10.68
3 4.2357 110 14 10 0 0 0 0 0 25.97
4 5.1273 147 21 10 1 0 0 0 0 28.67
5 4.2815 115 19 5 0 0 0 0 0 26.86
6 5.5089 59 11 1 0 0 0 0 0 10.71
7 4.5131 152 24 8 0 0 0 0 0 33.68
8 4.7120 54 10 1 0 0 0 0 0 11.46
9 3.8359 115 19 5 0 0 0 0 0 29.98
10 4.5741 109 19 3 1 0 0 0 0 23.83
11 4.5045 35 5 2 1 0 1 0 0 5.55
12 4.0637 51 7 3 2 0 0 0 0 12.55
13 4.5106 147 21 10 1 0 0 0 0 32.59
14 5.1259 112 16 8 0 0 0 0 0 21.85
15 2.2115 102 16 4 3 0 1 0 0 41.60
16 5.5394 57 9 3 0 0 0 0 0 10.29
17 2.2727 54 8 3 1 0 0 0 0 23.76
18 3.0248 50 8 2 1 0 0 0 0 16.53
19 4.4955 45 5 5 0 0 0 0 0 10.01
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 15 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#378 Schnoor, Olaf
Division Production Class U Category Senior Factor Minor Squad 28
Stage Factor PTS A C D Ded. MI NS PE Time
1 2.8178 88 12 8 4 0 0 0 0 31.23
2 5.0296 51 9 2 0 0 0 0 0 10.14
3 2.1824 105 18 5 0 0 1 0 0 43.53
4 2.2646 126 21 7 0 0 4 0 1 33.56
5 1.7979 90 15 5 0 0 4 0 0 27.81
6 4.0757 56 10 2 0 0 0 0 0 13.74
7 2.5823 121 18 10 1 0 3 0 0 35.24
8 3.0965 51 10 0 1 0 0 0 0 16.47
9 2.4587 83 11 8 4 0 1 0 0 29.69
10 2.9678 105 18 5 0 0 0 0 0 35.38
11 3.7961 35 5 3 1 0 0 0 0 9.22
12 1.9656 44 8 1 1 0 2 0 0 12.21
13 3.0142 122 20 6 4 0 2 0 0 33.84
14 2.7962 79 10 8 5 0 1 1 0 21.10
15 1.8021 95 16 5 0 0 3 0 0 36.07
16 4.3756 48 6 6 0 0 0 0 0 10.97
17 4.3155 58 11 1 0 0 0 0 0 13.44
18 3.4803 45 8 1 2 0 0 0 0 12.93
19 3.9766 34 3 6 1 0 0 0 0 8.55
#379 Styra, Lukasz
Division Standard Class U Category Factor Major Squad 28
Stage Factor PTS A C D Ded. MI NS PE Time
1 4.0570 111 17 6 1 0 0 0 0 27.36
2 7.8488 54 10 1 0 0 0 0 0 6.88
3 3.3031 100 14 7 1 0 2 0 0 24.22
4 3.6609 134 20 7 3 0 2 0 0 31.14
5 4.8004 105 15 7 1 0 1 0 0 19.79
6 6.5684 49 5 5 2 0 0 0 0 7.46
7 4.4366 139 15 15 2 0 0 0 0 31.33
8 2.3331 46 8 1 1 0 1 0 0 15.43
9 2.2624 90 10 9 2 0 3 0 0 26.52
10 3.9202 110 20 2 1 0 0 0 0 28.06
11 5.2800 43 7 2 0 0 0 1 0 6.25
12 5.5500 55 9 2 1 0 0 0 0 9.91
13 5.1777 144 24 5 2 0 1 0 0 25.88
14 5.2195 107 15 7 2 0 0 0 0 20.50
15 3.7736 108 14 9 1 0 0 0 0 28.62
16 7.4627 55 7 5 0 0 0 0 0 7.37
17 6.0768 57 11 0 1 0 0 0 0 9.38
18 4.1627 44 4 5 2 0 0 0 0 10.57
19 6.3274 46 6 4 0 0 0 0 0 7.27
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 16 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#382 Nybrott, Morten Wessel
Division Production Optics Class U Category Senior Factor Minor Squad 33
Stage Factor PTS A C D Ded. MI NS PE Time
1 2.7152 106 17 7 0 0 0 0 0 39.04
2 4.0622 47 9 0 2 0 0 0 0 11.57
3 3.7774 112 20 4 0 0 0 0 0 29.65
4 3.5938 138 23 7 2 0 0 0 0 38.40
5 3.4357 95 16 4 3 0 1 0 0 24.74
6 4.3893 46 7 3 2 0 0 0 0 10.48
7 3.9620 131 21 8 2 0 1 0 0 30.54
8 2.0071 51 9 2 0 0 0 0 0 25.41
9 2.8381 95 14 8 1 0 1 0 0 29.95
10 3.0523 101 17 5 1 0 0 0 0 33.09
11 2.5614 34 6 1 1 0 1 0 0 9.37
12 1.3380 53 10 1 0 0 1 2 0 17.19
13 2.1381 114 17 9 2 0 4 0 0 34.61
14 2.2239 88 11 11 0 0 2 1 0 26.08
15 1.4899 80 9 11 2 0 2 0 0 40.27
16 3.0303 56 11 0 1 0 0 1 0 15.18
17 4.7002 58 11 1 0 0 0 0 0 12.34
18 2.9697 49 8 3 0 0 0 0 0 16.50
19 3.4884 42 6 4 0 0 0 0 0 12.04
#383 Grainger, David K.
Division Optics Class U Category Factor Minor Squad 27
Stage Factor PTS A C D Ded. MI NS PE Time
1 4.8430 108 18 6 0 0 0 0 0 22.30
2 4.9475 43 6 4 1 0 0 1 0 6.67
3 5.3846 112 20 4 0 0 0 0 0 20.80
4 7.2267 154 29 3 0 0 0 0 0 21.31
5 5.4223 104 18 4 2 0 0 0 0 19.18
6 6.0109 44 5 6 1 0 0 0 0 7.32
7 4.9388 131 20 10 1 0 1 0 0 24.50
8 5.0891 50 10 0 0 0 1 0 0 7.86
9 4.1985 110 19 5 0 0 0 0 0 26.20
10 7.0935 113 22 1 0 0 0 0 0 15.93
11 8.0675 43 8 1 0 0 0 0 0 5.33
12 5.2314 52 9 2 1 0 0 0 0 9.94
13 7.0093 150 28 3 1 0 0 0 0 21.40
14 6.6126 106 19 3 2 0 0 0 0 16.03
15 2.9565 101 19 1 3 0 1 0 0 30.78
16 5.4717 58 11 1 0 0 0 0 0 10.60
17 6.5389 58 11 1 0 0 0 0 0 8.87
18 4.9000 49 8 3 0 0 0 0 0 10.00
19 7.8493 50 10 0 0 0 0 0 0 6.37
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 17 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#384 Poulsen, Kim
Division Optics Class U Category S. Senior Factor Major Squad 27
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.6728 110 14 10 0 0 0 0 0 29.95
2 2.8758 42 6 3 0 0 2 0 0 7.65
3 4.5100 110 16 7 1 0 0 0 0 24.39
4 4.3281 144 24 6 0 0 2 0 0 28.65
5 3.9122 107 15 7 2 0 0 0 0 27.35
6 3.6627 53 9 2 0 0 1 0 0 11.74
7 3.5997 141 19 10 3 0 0 0 0 39.17
8 3.9347 53 9 2 0 0 0 0 0 13.47
9 2.8571 107 13 10 1 0 0 0 0 37.45
10 4.9496 108 18 4 1 0 0 0 0 21.82
11 4.1502 42 6 3 0 0 0 0 0 10.12
12 2.7516 48 6 4 1 0 1 0 0 13.81
13 4.4155 149 25 6 0 0 1 0 0 31.48
14 4.5173 102 12 9 3 0 0 0 0 22.58
15 1.6502 97 13 7 2 0 2 1 0 40.60
16 4.9652 57 9 3 0 0 0 0 0 11.48
17 4.3336 53 7 4 1 0 0 0 0 12.23
18 3.3377 51 7 4 0 0 0 0 0 15.28
19 4.2117 39 3 5 2 0 0 0 0 9.26
#385 Milling, Rasmus
Division Optics Class U Category Factor Minor Squad 39
Stage Factor PTS A C D Ded. MI NS PE Time
1 5.2780 112 20 4 0 0 0 0 0 21.22
2 5.7600 46 8 2 0 0 1 0 0 6.25
3 6.2900 118 23 1 0 0 0 0 0 18.76
4 6.6758 146 26 5 1 0 0 0 0 21.87
5 5.9626 118 23 1 0 0 0 0 0 19.79
6 5.9627 48 7 4 1 0 0 0 0 8.05
7 5.0336 150 27 5 0 0 0 0 0 29.80
8 6.7485 55 11 0 0 0 0 0 0 8.15
9 4.3154 110 19 5 0 0 0 0 0 25.49
10 6.1952 113 22 1 0 0 0 0 0 18.24
11 7.4653 43 8 1 0 0 0 0 0 5.76
12 5.1188 56 10 2 0 0 0 0 0 10.94
13 5.9247 148 26 6 0 0 0 0 0 24.98
14 5.9801 108 18 6 0 0 0 0 0 18.06
15 3.3830 103 18 4 1 0 1 0 0 27.49
16 8.1123 52 8 4 0 0 0 0 0 6.41
17 5.4256 58 11 1 0 0 0 0 0 10.69
18 3.7638 51 9 2 0 0 0 0 0 13.55
19 6.4690 48 9 1 0 0 0 0 0 7.42
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 18 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#386 Daly, Hugh
Division Standard Class U Category S. Senior Factor Major Squad 32
Stage Factor PTS A C D Ded. MI NS PE Time
1 1.4765 94 16 3 1 0 4 0 1 29.80
2 4.7237 53 9 2 0 0 0 0 0 11.22
3 3.0572 106 18 4 0 0 2 0 0 28.13
4 2.7366 135 25 2 1 0 4 0 1 31.06
5 3.8244 115 19 5 0 0 0 0 0 30.07
6 5.2217 53 7 4 1 0 0 0 0 10.15
7 3.9205 148 24 6 2 0 0 0 0 37.75
8 2.9680 52 10 0 1 0 0 0 0 17.52
9 2.6066 106 14 9 0 0 1 0 0 36.83
10 3.4938 108 20 2 0 0 1 0 0 28.05
11 5.0000 38 4 4 1 0 0 0 0 7.60
12 1.1270 45 7 2 1 0 2 1 0 13.31
13 3.5778 151 27 4 0 0 1 0 0 39.41
14 4.1556 110 14 10 0 0 0 0 0 26.47
15 2.8356 109 15 8 1 0 0 0 0 38.44
16 4.8069 56 10 1 1 0 0 0 0 11.65
17 4.6603 59 11 1 0 0 0 0 0 12.66
18 3.6857 53 9 2 0 0 0 0 0 14.38
19 4.4944 44 6 3 1 0 0 0 0 9.79
#387 Keogh, Declan
Division Production Class U Category S. Senior Factor Minor Squad 32
Stage Factor PTS A C D Ded. MI NS PE Time
1 2.0768 100 17 5 0 0 2 0 0 38.52
2 4.1634 53 10 1 0 0 0 0 0 12.73
3 2.4265 109 20 3 0 0 1 0 0 40.80
4 2.9176 140 25 5 0 0 2 0 0 41.13
5 3.0637 114 21 3 0 0 0 0 0 37.21
6 3.3582 54 9 3 0 0 0 0 0 16.08
7 3.2845 130 19 11 2 0 0 0 0 39.58
8 3.3641 51 9 2 0 0 0 0 0 15.16
9 2.4780 104 16 8 0 0 0 0 0 41.97
10 2.9455 101 17 5 1 0 0 0 0 34.29
11 4.3333 39 6 3 0 0 0 0 0 9.00
12 1.4085 45 7 3 1 0 1 0 0 24.85
13 2.4092 130 21 7 4 0 0 0 0 53.96
14 2.8791 90 10 13 1 0 0 0 0 31.26
15 1.6572 90 13 8 1 0 2 0 0 42.24
16 2.4531 34 2 7 3 0 0 0 0 13.86
17 3.1320 56 10 2 0 0 0 0 0 17.88
18 2.3847 45 6 5 0 0 0 0 0 18.87
19 4.0457 46 8 2 0 0 0 0 0 11.37
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 19 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#388 Holm, Kent
Division Standard Class U Category S. Senior Factor Minor Squad 38
Stage Factor PTS A C D Ded. MI NS PE Time
1 2.3355 104 17 6 1 0 0 0 0 44.53
2 2.3048 49 9 1 1 0 0 0 0 21.26
3 2.6099 114 21 3 0 0 0 0 0 43.68
4 3.3372 153 30 1 0 0 1 0 0 42.85
5 2.0171 100 17 5 0 0 2 0 0 39.66
6 3.6115 58 11 1 0 0 0 0 0 16.06
7 3.1616 154 29 3 0 0 0 0 0 48.71
8 2.3703 53 10 1 0 0 0 0 0 22.36
9 1.8228 103 18 4 1 0 1 0 0 51.02
10 2.5267 111 21 2 0 0 0 0 0 43.93
11 0.0000 29 5 1 1 0 2 1 0 11.06
12 1.5221 43 6 4 1 0 1 0 0 21.68
13 3.0554 140 23 8 1 0 0 0 0 45.82
14 2.6543 87 11 10 2 0 1 0 0 29.01
15 1.2876 99 18 3 0 0 3 0 0 53.59
16 3.8251 56 10 2 0 0 0 0 0 14.64
17 3.5587 60 12 0 0 0 0 0 0 16.86
18 2.7834 55 11 0 0 0 0 0 0 19.76
19 3.2993 42 7 2 1 0 0 0 0 12.73
#390 Holbek, Hans Jørgen
Division Production Optics Class U Category Senior Factor Minor Squad 34
Stage Factor PTS A C D Ded. MI NS PE Time
1 2.7968 102 16 7 1 0 0 0 0 36.47
2 6.1481 49 8 3 0 0 0 0 0 7.97
3 3.4817 107 19 4 0 0 1 0 0 27.86
4 5.3252 158 31 1 0 0 0 0 0 29.67
5 2.8889 98 17 4 1 0 2 0 0 27.00
6 5.0352 50 9 1 2 0 0 0 0 9.93
7 4.0829 134 20 11 1 0 0 0 0 32.82
8 4.7992 49 8 3 0 0 0 0 0 10.21
9 3.0562 100 15 8 1 0 0 0 0 32.72
10 4.8187 109 20 3 0 0 0 0 0 22.62
11 5.5487 45 9 0 0 0 0 0 0 8.11
12 2.9603 51 9 2 0 0 1 0 0 13.85
13 3.1420 130 20 10 0 0 2 0 0 35.01
14 4.0353 96 13 10 1 0 0 0 0 23.79
15 2.2710 101 18 3 2 0 1 0 0 40.07
16 5.0224 56 10 2 0 0 0 0 0 11.15
17 5.0744 58 11 1 0 0 0 0 0 11.43
18 3.9627 51 9 2 0 0 0 0 0 12.87
19 4.5596 44 7 3 0 0 0 0 0 9.65
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 20 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#393 Bartelt, Dirk
Division Standard Class U Category S. Senior Factor Minor Squad 28
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.1164 102 16 7 1 0 0 0 0 32.73
2 4.2030 53 10 1 0 0 0 0 0 12.61
3 2.9253 114 22 1 1 0 0 0 0 38.97
4 4.1364 141 24 7 0 0 1 0 0 31.67
5 3.4704 108 18 6 0 0 0 0 0 31.12
6 4.2994 54 10 1 1 0 0 0 0 12.56
7 2.9201 134 23 6 1 0 2 0 0 39.04
8 2.8389 49 9 1 1 0 0 0 0 17.26
9 2.7831 102 16 7 1 0 0 0 0 36.65
10 2.7514 107 19 4 0 0 0 0 0 38.89
11 2.2518 32 5 2 1 0 1 0 0 9.77
12 3.9031 58 11 1 0 0 0 0 0 14.86
13 2.8742 131 23 5 1 0 3 0 0 35.14
14 3.5583 97 15 7 1 0 1 0 0 24.45
15 1.5795 100 19 1 2 0 2 0 0 50.65
16 4.6091 56 10 2 0 0 0 0 0 12.15
17 4.2804 58 11 1 0 0 0 0 0 13.55
18 2.9169 53 10 1 0 0 0 0 0 18.17
19 2.6631 40 5 5 0 0 0 0 0 15.02
#394 Stefansen, Michael
Division Production Class U Category Senior Factor Minor Squad 32
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.6375 112 20 4 0 0 0 0 0 30.79
2 5.8219 51 9 2 0 0 0 0 0 8.76
3 3.2691 112 20 4 0 0 0 0 0 34.26
4 4.8629 143 26 4 1 0 1 0 0 27.35
5 3.8547 104 18 4 2 0 0 0 0 26.98
6 5.9880 60 12 0 0 0 0 0 0 10.02
7 4.9735 150 27 5 0 0 0 0 0 30.16
8 2.9570 55 11 0 0 0 0 0 0 18.60
9 3.0315 89 12 9 2 0 1 0 0 26.06
10 4.6030 109 20 3 0 0 0 0 0 23.68
11 2.2628 36 6 2 0 0 1 0 0 11.49
12 4.0111 58 11 1 0 0 0 0 0 14.46
13 4.2141 147 27 4 0 0 1 0 0 32.51
14 4.6725 102 15 9 0 0 0 0 0 21.83
15 2.5328 97 15 7 1 0 1 0 0 34.35
16 5.7769 58 11 1 0 0 0 0 0 10.04
17 5.8252 54 9 3 0 0 0 0 0 9.27
18 3.4975 49 8 3 0 0 0 0 0 14.01
19 4.0512 38 4 6 0 0 0 0 0 9.38
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 21 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#395 Bugge, Lars
Division Production Class U Category S. Senior Factor Minor Squad 34
Stage Factor PTS A C D Ded. MI NS PE Time
1 1.9344 105 18 5 0 0 1 0 0 49.11
2 2.5879 53 10 1 0 0 0 0 0 20.48
3 2.1642 107 20 2 1 0 1 0 0 44.82
4 2.2970 144 27 3 0 0 2 0 1 49.63
5 2.7186 106 18 5 1 0 0 0 0 38.99
6 2.9834 54 9 3 0 0 0 0 0 18.10
7 2.4266 148 26 6 0 0 0 0 0 60.99
8 2.4256 53 10 1 0 0 0 0 0 21.85
9 1.7083 105 18 5 0 0 1 0 0 55.61
10 1.9340 102 18 4 0 0 1 0 0 47.57
11 2.2380 32 5 2 1 0 1 0 0 9.83
12 0.9506 51 9 2 0 0 1 1 0 32.61
13 1.9528 130 21 8 1 0 2 0 0 56.33
14 2.5790 102 16 7 1 0 0 0 0 39.55
15 1.1260 93 15 6 0 0 3 0 0 55.95
16 1.1297 43 5 6 0 0 1 1 0 20.36
17 3.3918 58 11 1 0 0 0 0 0 17.10
18 0.5667 35 5 3 1 0 2 0 0 26.47
19 2.7760 44 7 3 0 0 0 0 0 15.85
#396 Poulsen, Mie
Division Standard Class U Category Lady Factor Minor Squad 26
Stage Factor PTS A C D Ded. MI NS PE Time
1 2.7473 105 18 5 0 0 1 0 0 34.58
2 3.8390 51 9 2 0 0 0 1 0 10.68
3 2.1202 89 13 7 3 0 1 0 0 37.26
4 3.5613 150 27 5 0 0 0 0 0 42.12
5 3.3875 100 14 10 0 0 0 0 0 29.52
6 3.0435 42 3 9 0 0 0 0 0 13.80
7 2.6260 121 18 9 4 0 1 0 0 42.27
8 3.0922 53 10 1 0 0 0 0 0 17.14
9 2.4115 89 15 3 5 0 1 0 0 32.76
10 2.6213 107 19 4 0 0 0 0 0 40.82
11 4.5035 39 7 1 1 0 0 0 0 8.66
12 1.9442 49 8 3 0 0 1 0 0 20.06
13 2.1262 123 20 7 2 0 3 0 0 43.74
14 3.8139 100 15 8 1 0 0 0 0 26.22
15 1.2648 88 15 4 1 0 4 0 0 37.95
16 4.1256 56 10 2 0 0 0 1 0 11.15
17 3.0623 58 11 1 0 0 0 0 0 18.94
18 2.6970 51 9 2 0 0 0 0 0 18.91
19 3.6364 40 5 5 0 0 0 0 0 11.00
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 22 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#397 Poulsen, Lasse
Division Standard Class U Category Factor Minor Squad 26
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.7933 116 22 2 0 0 0 0 0 30.58
2 5.3145 49 8 3 0 0 0 0 0 9.22
3 4.4444 114 21 3 0 0 0 0 0 25.65
4 5.1643 154 29 3 0 0 0 0 0 29.82
