Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#144 Meyer, Andre
Division Production Optics Class U Category S. Senior Factor Minor Squad 36
Stage Factor PTS A C D Ded. MI NS PE Time
3 1.5817 109 20 3 0 0 1 0 0 62.59
4 3.9908 156 30 2 0 0 0 0 0 39.09
5 3.6177 106 19 3 2 0 0 0 0 29.30
6 3.8889 56 10 2 0 0 0 0 0 14.40
7 3.8880 150 27 5 0 0 0 0 0 38.58
8 2.2222 53 10 1 0 0 0 0 0 23.85
9 2.7551 98 16 5 3 0 0 0 0 35.57
10 3.4430 113 22 1 0 0 0 0 0 32.82
11 0.7082 30 4 3 1 0 1 1 0 14.12
12 2.2752 52 9 2 1 0 0 1 0 18.46
13 1.7673 115 20 4 3 0 5 0 0 36.78
14 3.5819 98 15 7 2 0 0 0 0 27.36
15 2.3910 96 14 8 2 0 0 0 0 40.15
16 4.0784 52 9 2 1 0 0 0 0 12.75
17 3.5667 54 10 1 1 0 0 0 0 15.14
18 2.9930 51 9 2 0 0 0 0 0 17.04
19 3.2609 36 4 5 1 0 0 0 0 11.04
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 3 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#202 jones, Adrian
Division Standard Class U Category S. Senior Factor Minor Squad 32
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.3557 110 19 5 0 0 0 0 0 32.78
2 3.5156 45 7 3 1 0 0 0 0 12.80
3 2.2714 96 15 7 0 0 2 0 0 33.46
4 4.0996 145 28 1 2 0 1 0 0 32.93
5 3.6508 110 20 3 1 0 0 0 0 30.13
6 4.7368 54 9 3 0 0 0 0 0 11.40
7 3.4792 136 22 8 2 0 0 0 0 39.09
8 0.0000 38 7 1 0 0 3 0 1 18.52
9 2.5389 106 18 5 1 0 0 0 0 41.75
10 3.0051 101 17 5 1 0 0 0 0 33.61
11 0.0000 24 4 1 1 0 3 0 1 11.50
12 0.8178 41 7 2 0 0 3 0 0 13.45
13 3.4051 127 21 6 4 0 1 0 0 34.36
14 3.6744 103 17 6 0 0 1 0 0 25.31
15 1.8581 92 15 5 2 0 2 0 0 38.75
16 4.2068 48 6 6 0 0 0 0 0 11.41
17 5.0817 56 10 2 0 0 0 0 0 11.02
18 3.3524 47 8 2 1 0 0 0 0 14.02
19 3.7500 42 7 2 1 0 0 0 0 11.20
#204 Otto, Irina
Division Production Optics Class U Category Lady Senior Factor Minor Squad 36
Stage Factor PTS A C D Ded. MI NS PE Time
1 2.2021 102 17 5 2 0 0 0 0 46.32
2 3.1778 47 8 2 1 0 0 0 0 14.79
3 1.9759 110 19 5 0 0 0 1 0 50.61
4 2.7761 138 22 9 1 0 0 0 0 49.71
5 2.3416 102 17 5 2 0 0 0 0 43.56
6 3.0804 54 9 3 0 0 0 0 0 17.53
7 2.8862 142 24 7 1 0 0 0 0 49.20
8 2.0032 48 9 1 0 0 1 0 0 18.97
9 0.9206 93 14 7 2 0 1 0 0 90.16
10 2.0542 98 16 6 0 0 1 0 0 42.84
11 0.7561 28 5 0 3 0 1 1 0 10.58
12 1.1969 52 9 2 1 0 0 1 0 35.09
13 2.1292 134 24 4 2 0 2 0 0 53.54
14 2.4717 103 17 6 0 0 1 1 0 33.58
15 1.0809 82 12 6 4 0 2 0 0 57.36
16 4.1574 56 10 2 0 0 0 0 0 13.47
17 3.5990 56 10 2 0 0 0 0 0 15.56
18 2.4602 51 9 2 0 0 0 0 0 20.73
19 4.1131 48 9 1 0 0 0 0 0 11.67
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 4 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#218 Vikeby, Rune
Division Standard Class U Category S. Senior Factor Minor Squad 30
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.2952 98 15 7 2 0 0 0 0 29.74
2 5.6667 51 9 2 0 0 0 0 0 9.00
3 3.5358 110 19 5 0 0 0 0 0 31.11
4 5.0443 148 26 6 0 0 0 0 0 29.34
5 3.9152 96 15 6 3 0 0 0 0 24.52
6 5.0535 52 9 2 1 0 0 0 0 10.29
7 4.6526 148 26 6 0 0 0 0 0 31.81
8 3.7118 51 9 2 0 0 0 0 0 13.74
9 3.1521 101 16 7 0 0 1 0 0 28.87
10 3.7455 103 18 4 1 0 0 0 0 27.50
11 5.6319 41 7 2 0 0 0 0 0 7.28
12 4.4362 48 8 2 2 0 0 0 0 10.82
13 3.3672 126 22 4 4 0 2 0 0 31.48
14 3.9387 90 10 13 1 0 0 0 0 22.85
15 1.8981 103 20 1 0 0 3 0 0 38.46
16 5.3279 52 8 4 0 0 0 0 0 9.76
17 3.6721 56 10 2 0 0 0 0 0 15.25
18 3.4789 47 8 2 1 0 0 0 0 13.51
19 4.4257 42 6 4 0 0 0 0 0 9.49
#263 Cowan, David
Division Open Class U Category Grand Senior Factor Major Squad 32
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.7424 111 17 6 1 0 0 0 0 29.66
2 4.3239 55 11 0 0 0 0 0 0 12.72
3 2.3937 104 16 5 2 0 1 0 0 39.27
4 4.1207 147 27 3 0 0 2 0 0 30.82
5 4.1860 108 14 9 1 0 0 0 0 25.80
6 4.6374 55 9 2 1 0 0 0 0 11.86
7 3.8835 136 16 12 4 0 0 0 0 35.02
8 1.4790 49 9 1 0 0 1 0 0 26.37
9 3.3715 109 15 8 1 0 0 0 0 32.33
10 1.7517 101 19 1 1 0 2 0 0 46.24
11 3.4188 32 4 1 4 0 0 0 0 9.36
12 4.6607 57 9 3 0 0 0 0 0 12.23
13 3.1677 136 22 5 3 0 2 0 0 36.62
14 5.0045 111 17 6 1 0 0 0 0 22.18
15 1.6522 91 11 8 2 0 3 0 0 36.92
16 4.0520 53 7 4 1 0 0 0 0 13.08
17 4.1018 58 10 2 0 0 0 0 0 14.14
18 2.4965 46 6 4 0 0 1 0 0 14.42
19 4.7764 47 7 3 0 0 0 0 0 9.84
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 5 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#270 Myrvang, Folke
Division Production Class U Category S. Senior Factor Minor Squad 30
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.8796 116 22 2 0 0 0 0 0 29.90
2 6.0945 49 8 3 0 0 0 0 0 8.04
3 4.4961 116 22 2 0 0 0 0 0 25.80
4 5.1232 158 31 1 0 0 0 0 0 30.84
5 4.1953 110 19 5 0 0 0 0 0 26.22
6 5.2156 52 8 4 0 0 0 0 0 9.97
7 4.7804 148 26 6 0 0 0 0 0 30.96
8 5.6025 53 10 1 0 0 0 0 0 9.46
9 3.2889 106 18 5 1 0 0 0 0 32.23
10 4.7896 107 20 2 1 0 0 0 0 22.34
11 6.6052 43 8 1 0 0 0 0 0 6.51
12 4.2553 54 9 3 0 0 0 0 0 12.69
13 4.5274 148 27 4 1 0 0 0 0 32.69
14 4.8434 116 22 2 0 0 0 0 0 23.95
15 2.5659 110 20 3 1 0 0 0 0 42.87
16 5.9765 56 10 2 0 0 0 0 0 9.37
17 5.0633 56 10 2 0 0 0 0 0 11.06
18 4.6614 53 10 1 0 0 0 0 0 11.37
19 5.2231 48 9 1 0 0 0 0 0 9.19
#291 Westerlund, Kent
Division Standard Class U Category Senior Factor Major Squad 37
Stage Factor PTS A C D Ded. MI NS PE Time
1 3.4684 107 15 7 2 0 0 0 0 30.85
2 6.3830 54 10 1 0 0 0 0 0 8.46
3 2.3671 103 17 4 1 0 2 1 0 30.84
4 5.2847 155 29 2 1 0 0 0 0 29.33
5 3.3622 111 21 1 1 0 1 0 0 30.04
6 4.7460 57 9 3 0 0 0 0 0 12.01
7 5.1794 153 25 7 0 0 0 0 0 29.54
8 4.4789 52 10 0 1 0 0 0 0 11.61
9 3.1036 105 19 1 3 0 1 0 0 30.61
10 4.4048 111 21 1 1 0 0 0 0 25.20
11 6.9841 44 8 1 0 0 0 0 0 6.30
12 4.4328 59 11 1 0 0 0 0 0 13.31
13 4.3106 151 25 6 1 0 0 0 0 35.03
14 4.1950 94 12 7 3 0 2 0 0 17.64
15 1.9180 100 16 4 2 0 2 0 0 41.71
16 6.7536 57 9 3 0 0 0 0 0 8.44
17 5.5140 59 11 1 0 0 0 0 0 10.70
18 3.9405 53 9 2 0 0 0 0 0 13.45
19 5.5172 48 8 2 0 0 0 0 0 8.70
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 6 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#296 Nyhus, Oscar
Division Standard Class U Category Senior Factor Minor Squad 30
Stage Factor PTS A C D Ded. MI NS PE Time
1 4.0152 116 22 2 0 0 0 0 0 28.89
2 3.5016 53 10 1 0 0 0 1 0 12.28
3 4.4584 114 21 3 0 0 0 0 0 25.57
4 5.0198 152 28 4 0 0 0 0 0 30.28
5 4.0756 110 19 5 0 0 0 0 0 26.99
6 5.3763 60 12 0 0 0 0 0 0 11.16
7 4.3774 148 26 6 0 0 0 0 0 33.81
8 4.0531 55 11 0 0 0 0 0 0 13.57
9 3.0255 105 18 5 0 0 1 0 0 31.40
10 3.7665 111 21 2 0 0 0 0 0 29.47
11 4.7436 37 6 2 1 0 0 0 0 7.80
12 3.4177 54 9 3 0 0 0 0 0 15.80
13 4.1559 139 24 6 1 0 1 0 0 31.04
14 4.0738 106 18 5 1 0 0 0 0 26.02
15 3.1056 110 20 3 1 0 0 0 0 35.42
16 3.5510 41 5 5 1 0 1 0 0 8.73
17 4.3956 56 10 2 0 0 0 0 0 12.74
18 3.4836 51 9 2 0 0 0 0 0 14.64
19 5.3593 44 7 3 0 0 0 0 0 8.21
#300 Nyhus, Tone Elisabeth Olsen
Division Production Optics Class U Category Lady Senior Factor Minor Squad 30
Stage Factor PTS A C D Ded. MI NS PE Time
1 1.8813 101 16 7 0 0 1 0 0 48.37
2 3.1410 49 9 1 1 0 0 0 0 15.60
3 1.9886 114 21 3 0 0 0 2 0 47.27
4 2.8025 154 29 3 0 0 0 0 0 54.95
5 2.1636 97 17 3 3 0 1 0 0 40.21
6 2.7807 52 9 2 1 0 0 0 0 18.70
7 2.3632 136 22 8 2 0 0 0 0 57.55
8 1.4684 49 9 1 1 0 0 0 0 33.37
9 2.0073 110 19 5 0 0 0 0 0 54.80
10 2.2426 105 18 5 0 0 0 0 0 46.82
11 0.0000 21 4 0 1 0 4 0 0 13.18
12 0.4560 50 10 0 0 0 2 2 0 21.93
13 2.2114 138 25 4 1 0 2 0 0 53.36
14 2.4983 112 20 4 0 0 0 0 0 44.83
15 1.2422 102 19 2 1 0 2 0 0 66.01
16 3.5344 58 11 1 0 0 0 0 0 16.41
17 2.4339 58 11 1 0 0 0 0 0 23.83
18 1.2544 42 6 4 0 0 1 0 0 25.51
19 3.5320 48 9 1 0 0 0 0 0 13.59
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 7 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#314 Ksycki, Andre
Division Production Class U Category Factor Minor Squad 28
Stage Factor PTS A C D Ded. MI NS PE Time
1 4.3252 108 18 6 0 0 0 0 0 24.97
2 7.2902 53 10 1 0 0 0 0 0 7.27
3 4.9090 116 22 2 0 0 0 0 0 23.63
4 3.5754 136 23 7 0 0 2 1 1 26.85
5 4.3702 102 16 7 1 0 0 0 0 23.34
6 6.3084 54 9 3 0 0 0 0 0 8.56
7 4.9803 152 28 4 0 0 0 0 0 30.52
8 3.9135 48 9 1 0 0 1 0 0 9.71
9 3.9076 110 19 5 0 0 0 0 0 28.15
10 4.5159 111 21 2 0 0 0 0 0 24.58
11 5.1034 37 6 2 1 0 0 0 0 7.25
12 4.8430 54 9 3 0 0 0 0 0 11.15
13 4.4515 140 24 6 2 0 0 0 0 31.45
14 5.9655 114 21 3 0 0 0 0 0 19.11
15 2.7613 103 19 2 2 0 1 0 0 33.68
16 6.8027 60 12 0 0 0 0 0 0 8.82
17 4.8544 60 12 0 0 0 0 0 0 12.36
18 4.4348 51 10 0 1 0 0 0 0 11.50
19 4.8969 38 5 4 1 0 0 0 0 7.76
#330 Lee, Kyrre
Division Production Optics Class U Category Senior Factor Minor Squad 26
Stage Factor PTS A C D Ded. MI NS PE Time
1 4.4632 106 17 7 0 0 0 0 0 23.75
2 7.8462 51 9 2 0 0 0 0 0 6.50
3 3.5065 110 19 5 0 0 0 0 0 31.37
4 5.4319 144 25 6 1 0 0 0 0 26.51
5 4.3919 101 18 3 2 0 1 0 0 20.72
6 5.2972 51 9 2 0 0 1 0 0 7.74
7 5.5451 148 27 4 1 0 0 0 0 26.69
8 5.3000 53 10 1 0 0 0 0 0 10.00
9 2.7607 91 12 10 1 0 1 0 0 29.34
10 6.0261 111 21 2 0 0 0 0 0 18.42
11 5.4250 40 8 0 0 0 1 0 0 5.53
12 6.1792 60 12 0 0 0 0 0 0 9.71
13 4.7635 142 24 7 1 0 0 0 0 29.81
14 5.1336 98 14 9 1 0 0 0 0 19.09
15 3.3821 94 15 6 1 0 2 0 0 21.88
16 5.9776 48 6 6 0 0 0 0 0 8.03
17 6.9825 56 10 2 0 0 0 0 0 8.02
18 4.4118 45 7 3 1 0 0 0 0 10.20
19 7.0661 46 8 2 0 0 0 0 0 6.51
Printed Jul 31, 2026 16:51:16 ESS - Electronic Scoring System 8 of 65
Rooster Mountain 2026 - Handgun
Printed: Jul 31, 2026 16:51:16
#339 Prehn, Daniel
Division Classic Class U Category Factor Minor Squad 36
Stage Factor PTS A C D Ded. MI NS PE Time
